type,強度,start-date,end-date
入台時間,輕度,2012-06-19,2012-06-21
入台時間,輕度,2012-06-28,2012-06-29
入台時間,中度,2012-07-30,2012-08-03
入台時間,中度,2012-08-06,2012-08-07
入台時間,輕度,2012-08-14,2012-08-15
入台時間,中度,2012-08-21,2012-08-25
入台時間,強烈,2012-09-27,2012-09-28
入台時間,強烈,2013-07-11,2013-07-13
入台時間,輕度,2013-07-17,2013-07-18
入台時間,輕度,2013-08-20,2013-08-22
入台時間,輕度,2013-08-27,2013-08-29
入台時間,強烈,2013-09-19,2013-09-22
入台時間,中度,2013-10-04,2013-10-07
入台時間,輕度,2014-06-14,2014-06-15
入台時間,中度,2014-07-21,2014-07-23
入台時間,輕度,2014-09-19,2014-09-22
入台時間,強烈,2015-05-10,2015-05-11
入台時間,輕度,2015-07-06,2015-07-09
入台時間,中度,2015-08-06,2015-08-09
入台時間,強烈,2015-08-20,2015-08-23
入台時間,強烈,2015-09-27,2015-09-29
入台時間,強烈,2016-07-06,2016-07-09
入台時間,強烈,2016-09-12,2016-09-15
入台時間,中度,2016-09-25,2016-09-28
入台時間,輕度,2016-10-05,2016-10-06
入台時間,中度,2017-07-28,2017-07-30
入台時間,中度,2017-08-20,2017-08-22
入台時間,中度,2017-09-12,2017-09-14
入台時間,強烈,2018-07-09,2018-07-11
入台時間,強烈,2018-09-14,2018-09-15
入台時間,輕度,2019-07-16,2019-07-18
入台時間,強烈,2019-08-07,2019-08-10
入台時間,輕度,2019-08-23,2019-08-25
入台時間,中度,2019-09-29,2019-10-01
